Chronic Cellars,Paso Robles,California,US,4/1/2018,4/1/2018,
Claiborne & Churchill,Edna Valley,California,US,4/1/2018,4/1/2018,
Collin-Bourisset,Moulin-à-Vent,Beaujolais,France,4/1/2018,4/1/2018,
Conde de Velázquez,,Aconcagua Valley,Chile,4/1/2018,4/1/2018,
Cono Sur,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Domaine Berthoumieu,Madiran,Southwest France,France,4/1/2018,4/1/2018,
Dracaena,Paso Robles,California,US,4/1/2018,4/1/2018,
Duckhorn,Napa Valley,California,US,4/1/2018,4/1/2018,
Dutton-Goldfield,Russian River Valley,California,US,4/1/2018,4/1/2018,
Fritz Haag,,Mosel,Germany,4/1/2018,4/1/2018,
G7,,Loncomilla Valley,Chile,4/1/2018,4/1/2018,
Le Cadeau,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Stoneleigh,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Tenuta Peter Sölva & Söhne,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
TerraMater,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Isole e Olena,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Kenwood,Sonoma Valley,California,US,4/1/2018,4/1/2018,
La Chablisienne,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Manzoni,Santa Lucia Highlands,California,US,4/1/2018,4/1/2018,
McIntyre Vineyards,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Abbadia Ardenga,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Alamos,Salta,Other,Argentina,4/1/2018,4/1/2018,
Anaba,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Apaltagua,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Harrington,Anderson Valley,California,US,4/1/2018,4/1/2018,
Abbazia Santa Anastasia,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Viña Bisquertt,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Emiliana,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Fattoria Alois,Campania,Southern Italy,Italy,4/1/2018,4/1/2018,
Aldegheri,Rosso del Veronese,Veneto,Italy,4/1/2018,4/1/2018,
Bertrand Ambroise,St.-Romain,Burgundy,France,4/1/2018,4/1/2018,
Campomaggio,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Carpineto,Vino Nobile di Montepulciano,Tuscany,Italy,4/1/2018,4/1/2018,
Cesani,Vernaccia di San Gimignano,Tuscany,Italy,4/1/2018,4/1/2018,
Spier,,Western Cape,South Africa,4/1/2018,4/1/2018,
Sequum,Napa Valley,California,US,4/1/2018,4/1/2018,
Sierra Starr,Nevada County,California,US,4/1/2018,4/1/2018,
Tenuta di Sesta,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Terlan,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Yatir,,Judean Hills,Israel,4/1/2018,4/1/2018,
Adega Cooperativa de Borba,,Alentejo,Portugal,4/1/2018,4/1/2018,
J. Lohr,Paso Robles,California,US,4/1/2018,4/1/2018,
J. Lohr,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Courtney Benham,Napa Valley,California,US,4/1/2018,4/1/2018,
Del Carlo Winery,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Delaire Graff,,Coastal Region,South Africa,4/1/2018,4/1/2018,
Domaine St Pierre,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Eikendal,,Western Cape,South Africa,4/1/2018,4/1/2018,
Famille Perrin,Vacqueyras,Rhône Valley,France,4/1/2018,4/1/2018,
Matarromera,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
MCV,Paso Robles,California,US,4/1/2018,4/1/2018,
Mounts,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Or Haganuz,,Galilee,Israel,4/1/2018,4/1/2018,
Podere Scopetone,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Quinta de Foz de Arouce,,Beira Atlantico,Portugal,4/1/2018,4/1/2018,
Robert Mondavi,Napa Valley,California,US,4/1/2018,4/1/2018,
Samuel Tinon,,Tokaj,Hungary,4/1/2018,4/1/2018,
Sixteen by Twenty,Sonoma Coast,California,US,4/1/2018,4/1/2018,
St. Pauls,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Talenti,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Mendel,Luján de Cuyo,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Oldenburg,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Wagner,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Treleaven,Cayuga Lake,New York,US,4/1/2018,4/1/2018,
Benessere,Napa Valley,California,US,4/1/2018,4/1/2018,
Bloomer Creek,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Andean Sky,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Angove's,South Australia,South Australia,Australia,4/1/2018,4/1/2018,
Silvan Ridge,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Talamonti,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Testarossa,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Meeker,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Consorzio Vini Tipici di San Marino,San Marino,Central Italy,Italy,4/1/2018,4/1/2018,
D'Arenberg,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Dogwood,Mendocino,California,US,4/1/2018,4/1/2018,
Domaine du Tariquet,Vin de Pays des Côtes de Gascogne,Southwest France,France,4/1/2018,4/1/2018,
Falcor,Napa Valley,California,US,4/1/2018,4/1/2018,
Hayman & Hill,Russian River Valley,California,US,4/1/2018,4/1/2018,
Hermann J. Wiemer,Finger Lakes,New York,US,4/1/2018,4/1/2018,
J. & F. Lurton,Vino de la Tierra de Castilla y León,Northern Spain,Spain,4/1/2018,4/1/2018,
Finca Las Moras,San Juan,Other,Argentina,4/1/2018,4/1/2018,
Long Flat,Adelaide Hills,South Australia,Australia,4/1/2018,4/1/2018,
Work,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
Amity,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Autumn Hill,Monticello,Virginia,US,4/1/2018,4/1/2018,
Blue Rock,Alexander Valley,California,US,4/1/2018,4/1/2018,
Cherry Hill,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Cloud 9,Amador County,California,US,4/1/2018,4/1/2018,
Cueva de las Manos,Luján de Cuyo,Mendoza Province,Argentina,4/1/2018,4/1/2018,
David Fulton,St. Helena,California,US,4/1/2018,4/1/2018,
Esterlina,Cole Ranch,California,US,4/1/2018,4/1/2018,
Goats do Roam Wine Co.,,Coastal Region,South Africa,4/1/2018,4/1/2018,
Graham Beck,,Coastal Region,South Africa,4/1/2018,4/1/2018,
Hartenberg,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Vignobles 46N118,Cahors,Southwest France,France,4/1/2018,4/1/2018,
Willamette Valley Vineyards,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Algodon,,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Beaver Creek,Napa Valley,California,US,4/1/2018,4/1/2018,
Byron,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Jardin,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Kaiken,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Lungarotti,Torgiano,Central Italy,Italy,4/1/2018,4/1/2018,
Marchesi Fumanelli,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Mariell,,Leithaberg,Austria,4/1/2018,4/1/2018,
Livio Felluga,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
My Big Fat Greek Wine,,Santorini,Greece,4/1/2018,4/1/2018,
Nals Margreid,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
O. Fournier,Uco Valley,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Pico Maccario,Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
Sottano,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
St. Francis,Sonoma County,California,US,4/1/2018,4/1/2018,
Trailhead,Napa Valley,California,US,4/1/2018,4/1/2018,
Erath,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Franz Haas,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Forstreiter,,Kremstal,Austria,4/1/2018,4/1/2018,
Cambria,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
I Giusti e Zanza,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
J. Christopher,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Viña Cobos,Perdriel,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Salomon-Undhof,,Kremstal,Austria,4/1/2018,4/1/2018,
Talley,Arroyo Grande Valley,California,US,4/1/2018,4/1/2018,
Acústic,Montsant,Catalonia,Spain,4/1/2018,4/1/2018,
Josef Schmid,,Kremstal,Austria,4/1/2018,4/1/2018,
Parallel,Napa Valley,California,US,4/1/2018,4/1/2018,
Château Lafon-Rochet,Saint-Estèphe,Bordeaux,France,4/1/2018,4/1/2018,
Dionigi,Sagrantino di Montefalco,Central Italy,Italy,4/1/2018,4/1/2018,
Domaine Daniel Dugois,Arbois,France Other,France,4/1/2018,4/1/2018,
Kilikanoon,Barossa Valley,South Australia,Australia,4/1/2018,4/1/2018,
Finca Sophenia,Tupungato,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Treana,Paso Robles,California,US,4/1/2018,4/1/2018,
Ventisquero,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Aquinas,Napa Valley,California,US,4/1/2018,4/1/2018,
Arboleda,,Aconcagua Valley,Chile,4/1/2018,4/1/2018,
Attilio Ghisolfi,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Buried Cane,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Cantina del Nebbiolo,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Cascina Adelaide,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Cascina La Ghersa,Barbera d'Asti Superiore Nizza,Piedmont,Italy,4/1/2018,4/1/2018,
Claudia Springs,Mendocino County,California,US,4/1/2018,4/1/2018,
Cramele Recas,,Recas,Romania,4/1/2018,4/1/2018,
Domaine Bertagna,Côte de Nuits-Villages,Burgundy,France,4/1/2018,4/1/2018,
Domaine Sigalas,,Santorini,Greece,4/1/2018,4/1/2018,
Socré,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Boffa,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Otto's Constant Dream,,Hawke's Bay,New Zealand,4/1/2018,4/1/2018,
Mount Veeder,Napa Valley,California,US,4/1/2018,4/1/2018,
Rabino,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Bellussi,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Château Mont-Pérat,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Château Tour de Mirambeau,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Aresti,,Curicó Valley,Chile,4/1/2018,4/1/2018,
Paladin,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Perlage,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Sant Eurosia,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
J. & F. Lurton,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
L'Antica Quercia,Prosecco di Conegliano,Veneto,Italy,4/1/2018,4/1/2018,
Lucas Vineyards,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Marsuret,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
De Martino,,Limarí Valley,Chile,4/1/2018,4/1/2018,
Beringer,Knights Valley,California,US,4/1/2018,4/1/2018,
Brutocao,Mendocino,California,US,4/1/2018,4/1/2018,
Clos La Chance,Central Coast,California,US,4/1/2018,4/1/2018,
Cono Sur,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Sommariva,Prosecco di Conegliano,Veneto,Italy,4/1/2018,4/1/2018,
Spagnol,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Jacquart,Champagne,Champagne,France,4/1/2018,4/1/2018,
Koyle,,Colchagua Costa,Chile,4/1/2018,4/1/2018,
Château Notre Dame du Quatourze,Languedoc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Mémoires,Coteaux Varois en Provence,Provence,France,4/1/2018,4/1/2018,
Cavas Hill,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Antoine Moltès & Fils,Alsace,Alsace,France,4/1/2018,4/1/2018,
Pezzi King,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Bellisco,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Pura 8,,Rapel Valley,Chile,4/1/2018,4/1/2018,
Viña Tarapacá,,Leyda Valley,Chile,4/1/2018,4/1/2018,
Chambers Rosewood Vineyards,Rutherglen,Victoria,Australia,4/1/2018,4/1/2018,
Robert Weil,,Rheingau,Germany,4/1/2018,4/1/2018,
Torbreck,Barossa,South Australia,Australia,4/1/2018,4/1/2018,
Cavallotto,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Oremus,,Tokaji,Hungary,4/1/2018,4/1/2018,
Rochioli,Russian River Valley,California,US,4/1/2018,4/1/2018,
Louis Latour,Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Jasper Hill,Heathcote,Victoria,Australia,4/1/2018,4/1/2018,
Château de la Tour,Clos de Vougeot,Burgundy,France,4/1/2018,4/1/2018,
Weingut Hans Bausch,,Rheingau,Germany,4/1/2018,4/1/2018,
Philippe Colin,Chassagne-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Torbreck,Barossa Valley,South Australia,Australia,4/1/2018,4/1/2018,
Bel Colle,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
J. Davies,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Louis Latour,Criots-Bâtard-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Winderlea,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Wakefield,Clare Valley,South Australia,Australia,4/1/2018,4/1/2018,
Cantina Terlano,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
De Martino,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Montresor,Bianco di Custoza,Veneto,Italy,4/1/2018,4/1/2018,
Ronco del Gelso,Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Sebastiani,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Elena Walch,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Gini,Soave,Veneto,Italy,4/1/2018,4/1/2018,
Borgo Conventi,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Ceago Vinegarden,Mendocino County,California,US,4/1/2018,4/1/2018,
Valiano,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Volpe Pasini,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Zenato,,Naoussa,Greece,4/1/2018,4/1/2018,
L.A. Cetto,,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
La Vis,Trentino,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Lapostolle,,Rapel Valley,Chile,4/1/2018,4/1/2018,
Fratelli Zeni,Bianco di Custoza,Veneto,Italy,4/1/2018,4/1/2018,
Carmen,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Tommasi,Valdadige,Veneto,Italy,4/1/2018,4/1/2018,
San Michele Eppan,Alto Adige,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Vinoce,Rutherford,California,US,4/1/2018,4/1/2018,
Merriam,Russian River Valley,California,US,4/1/2018,4/1/2018,
Murphy-Goode,Alexander Valley,California,US,4/1/2018,4/1/2018,
Kynsi,Edna Valley,California,US,4/1/2018,4/1/2018,
Casa Julia,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Valdivieso,,Central Valley,Chile,4/1/2018,4/1/2018,
Bridlewood,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
San Pedro,,Lontué Valley,Chile,4/1/2018,4/1/2018,
Undurraga,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Conti Formentini,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Cline,California,California,US,4/1/2018,4/1/2018,
Cono Sur,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Astoria,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
